deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-CB16-VR2W-120015-2014,ManmadePlatform,120015,VEMCO,47.91337,-65.2984,2014-05-29T22:23:00Z,2014-09-10T17:04:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB16,OTN-Global
ASF-CB17-VR2W-120024-2014,ManmadePlatform,120024,VEMCO,47.91993,-65.30399,2014-05-29T22:30:00Z,2014-09-10T17:10:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB17,OTN-Global
ASF-CB18-VR2W-120025-2014,ManmadePlatform,120025,VEMCO,47.92635,-65.31011,2014-05-29T22:37:00Z,2014-09-10T17:16:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB18,OTN-Global
ASF-CB19-VR2W-120017-2014,ManmadePlatform,120017,VEMCO,47.93274,-65.316,2014-05-29T22:43:00Z,2014-09-10T17:22:00Z,68.58,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB19,OTN-Global
ASF-CB1-VR2W-109519-2014,ManmadePlatform,109519,VEMCO,47.81719,-65.2099,2014-05-29T20:15:00Z,9999-12-31T23:59:00Z,7.92,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB1,OTN-Global
ASF-CB1-VR2W-120025-2014,ManmadePlatform,120025,VEMCO,47.81719,-65.2099,2014-09-10T20:30:00Z,2014-10-22T15:25:00Z,7.92,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB1,OTN-Global
ASF-CB21-VR2W-119975-2014,ManmadePlatform,119975,VEMCO,47.94567,-65.32784,2014-05-29T22:56:00Z,2014-09-10T17:36:00Z,60.96,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB21,OTN-Global
ASF-CB22-VR2W-120031-2014,ManmadePlatform,120031,VEMCO,47.95208,-65.33383,2014-05-29T23:02:00Z,2014-09-10T17:43:00Z,57.91,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB22,OTN-Global
ASF-CB23-VR2W-103140-2014,ManmadePlatform,103140,VEMCO,47.95859,-65.33974,2014-05-29T23:12:00Z,2014-09-10T17:50:00Z,51.82,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB23,OTN-Global
ASF-CB24-VR2W-120026-2014,ManmadePlatform,120026,VEMCO,47.96488,-65.34563,2014-05-29T23:24:00Z,2014-09-10T17:57:00Z,45.72,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB24,OTN-Global
